c,cpu_limit,cpu_usage,lat100_ms,lat50_ms,lat66_ms,lat75_ms,lat80_ms,lat90_ms,lat95_ms,lat98_ms,lat99_ms,n,ram_limit_mb,ram_usage_mb,t_norm,sin_day,cos_day,is_gap,time_since_last_obs,time_to_next_obs
51.0,2.0,0.01852879,16950.0,14285.0,14609.0,14854.0,15051.0,15728.0,16168.0,16433.0,16658.0,400.0,640.0,35.966976,0.008841285,0.34734485,-0.93773746,0.0,0.0,0.0
51.0,2.0,0.01847393,17415.0,14528.0,15011.0,15253.0,15427.0,16131.0,16494.0,16804.0,16925.0,400.0,256.0,35.250175,0.008881494,0.34679922,-0.9379394,0.0,0.0,0.0
51.0,2.0,0.01867197,17150.0,14313.0,14603.0,15161.0,15610.0,16129.0,16421.0,16563.0,16753.0,400.0,384.0,35.926018,0.008966942,0.3456394,-0.9383674,0.0,0.0,0.0
1.0,2.0,0.0184802,228.0,141.99902,152.0,155.99902,160.0,170.0,180.0,195.0,205.99902,500.0,1024.0,32.804863,0.009173021,0.34284005,-0.9393938,0.0,0.0,0.0
1.0,2.0,0.01847694,210.0,145.0,153.0,156.99902,159.0,167.0,174.99902,186.0,194.0,500.0,768.0,35.03309,0.009178047,0.34277174,-0.93941873,0.0,0.0,0.0
1.0,2.0,0.01854154,239.99902,140.99902,149.99902,155.99902,160.0,170.0,180.0,199.0,209.0,500.0,896.0,35.23379,0.0091881,0.3426351,-0.93946856,0.0,0.0,0.0
1.0,2.0,0.01848907,220.00098,147.0,154.0,158.0,160.0,167.0,174.0,187.00098,195.0,500.0,128.0,32.948223,0.009208205,0.3423618,-0.9395682,0.0,0.0,0.0
1.0,2.0,0.01852879,210.0,143.99902,152.0,158.0,161.0,170.0,177.0,186.0,194.0,500.0,640.0,35.21331,0.009253441,0.34174678,-0.9397921,0.0,0.0,0.0
1.0,2.0,0.01847446,220.00098,142.99902,153.0,158.0,162.0,170.0,179.0,190.0,199.0,500.0,256.0,35.086334,0.009283599,0.3413367,-0.9399411,0.0,0.0,0.0
1.0,2.0,0.01850307,210.0,139.99902,149.99902,155.99902,159.0,169.0,176.0,196.0,203.0,500.0,384.0,34.9184,0.009358995,0.34031117,-0.94031286,0.0,0.0,0.0
11.0,2.0,0.01735595,3375.0,2961.0,3032.0,3084.0,3106.0,3194.0,3227.0005,3279.0,3341.0,500.0,512.0,32.39936,0.0099018365,0.33291554,-0.9429566,0.0,0.0,0.0
11.0,2.0,0.01722154,3419.0,2977.001,3032.0,3082.0,3110.0,3187.0,3260.0,3302.001,3332.0,500.0,768.0,33.775616,0.009906863,0.33284697,-0.9429808,0.0,0.0,0.0
11.0,2.0,0.01630098,3413.0,2937.9995,2999.0,3031.0,3061.001,3151.001,3217.0,3288.0,3332.0,500.0,896.0,33.828865,0.009911888,0.3327784,-0.9430051,0.0,0.0,0.0
11.0,2.0,0.0163564,3590.0,2971.0,3041.0,3097.0,3137.0005,3222.9995,3301.0,3396.0,3478.0,500.0,128.0,33.39059,0.009942046,0.3323669,-0.94315016,0.0,0.0,0.0
