cpu_limit,cpu_usage,lat100_ms,lat50_ms,lat75_ms,lat80_ms,lat90_ms,lat95_ms,lat98_ms,lat99_ms,mean_ms,n,ram_limit_mb,ram_usage_mb,t_norm,sin_day,cos_day,sin_hour,cos_hour,is_gap,time_since_last_obs,time_to_next_obs
3.5,0.254342,1134.9824,1093.7871,1117.7969,1121.981,1130.7354,1132.0835,1134.0122,1134.1069,1092.4956,80.0,1280.0,415.3016,0.034524776,-0.251084,-0.9679653,-0.190809,0.98162717,0.0,0.0,0.0
3.5,0.419444,2568.024,2519.689,2548.8477,2549.04,2557.0474,2562.755,2563.8682,2567.0376,2514.6538,90.0,1280.0,421.97812,0.034930952,-0.2522101,-0.9676725,-0.16332597,0.98657215,0.0,0.0,0.0
3.5,0.24095705,1456.8921,1386.6426,1418.6152,1420.9199,1431.9873,1444.1846,1455.979,1456.189,1388.3447,100.0,1280.0,421.97812,0.035337124,-0.25333586,-0.9673784,-0.13571557,0.99074787,0.0,0.0,0.0
3.5,0.22186586,19438.516,9725.271,16406.477,11581.374,19489.508,4068.4053,22027.557,6599.608,10083.379,95.67494,1625.5679,622.57135,0.0357433,-0.2544613,-0.967083,-0.107999355,0.99415094,1.0,1.0,11.0
3.5,0.32681495,22303.71,12135.061,18727.102,14950.395,20594.14,8795.303,23070.145,10868.023,13561.367,145.34685,1812.5621,638.06665,0.036149472,-0.2555864,-0.9667862,-0.08019892,0.9967789,1.0,2.0,10.0
3.5,0.3880018,24297.566,14424.057,19660.805,16901.041,21705.678,11764.426,24719.398,13083.551,15479.27,163.01057,1839.8779,664.42474,0.036555644,-0.2567111,-0.9664882,-0.052335955,0.9986295,1.0,3.0,9.0
3.5,0.43913487,25316.125,16120.02,20536.102,18933.406,21939.164,14063.502,25622.936,16012.808,17513.28,174.344,1736.6465,683.69794,0.03696182,-0.2578355,-0.96618885,-0.024432179,0.9997015,1.0,4.0,8.0
3.5,0.46710837,25586.57,16811.363,21047.781,19252.02,21850.807,15335.414,25497.29,17840.916,17969.867,180.1288,1625.5881,713.1508,0.037367992,-0.25895953,-0.96588814,0.0034906515,0.9999939,1.0,5.0,7.0
3.5,0.50927293,26163.973,17515.227,21655.025,18993.8,22339.076,16771.307,25492.227,19318.164,18608.61,187.54135,1493.0459,724.551,0.037774168,-0.26008323,-0.9655862,0.031410757,0.99950653,1.0,6.0,6.0
3.5,0.47390196,25422.75,15742.435,20200.332,16564.043,21346.246,15691.373,24507.424,16745.27,16981.01,175.1469,1538.4625,730.22906,0.03818034,-0.26120654,-0.9652829,0.059306372,0.9982398,1.0,7.0,5.0
3.5,0.38574207,25209.54,14379.342,19233.715,14722.252,20903.785,14005.264,23563.754,14179.266,15276.898,154.11171,1567.8553,718.22705,0.038586516,-0.26232952,-0.96497834,0.087155744,0.9961947,1.0,8.0,4.0
3.49371,0.38944107,23452.305,12909.498,17734.658,13186.141,19479.555,12798.3,21415.3,13101.297,14520.684,138.01573,1536.5212,719.0139,0.038992688,-0.26345214,-0.96467245,0.11493715,0.99337274,1.0,9.0,3.0
3.4994931,0.29609394,22673.246,10568.923,16196.725,10998.396,18650.307,9943.223,20397.463,9681.375,12522.567,104.817055,1505.2139,719.31244,0.039398864,-0.26457444,-0.96436524,0.14262894,0.98977625,1.0,10.0,2.0
3.4815974,0.14819613,15492.303,8111.2676,10658.997,7248.2144,11512.316,4256.306,14792.561,6256.7344,8385.391,53.37976,1530.0569,642.58136,0.039805036,-0.26569635,-0.9640568,0.1702095,0.9854079,1.0,11.0,1.0
