time,split,cpu_limit,cpu_usage,lat100_ms,lat50_ms,lat75_ms,lat80_ms,lat90_ms,lat95_ms,lat98_ms,lat99_ms,mean_ms,n,ram_limit_mb,ram_usage_mb
1637380550.0,train,0.5,0.0,181.61292,175.87784,178.9806,178.9806,180.09588,180.09588,180.09588,180.09588,175.73288,10.0,256.0,217.821184
1637380563.0,train,0.5,0.0,181.61292,175.87784,178.9806,178.9806,180.09588,180.09588,180.09588,180.09588,175.73288,10.0,256.0,217.821184
1637380576.0,train,4.0,0.041877,186.948,183.838,184.851,184.851,186.367,186.367,186.367,186.367,182.784,10.0,2560.0,502.94784
1637380589.0,train,4.0,0.041877,318.893,306.296,312.886,312.886,314.456,318.538,318.538,318.538,303.634,20.0,2560.0,503.042048
1637380602.0,train,4.0,0.007181,584.595,559.298,576.932,577.655,578.347,578.363,578.695,578.695,559.672,30.0,2560.0,602.370048
1637380615.0,train,4.0,0.007181,643.894,621.1,633.002,633.314,639.085,641.405,642.22,642.22,621.085,40.0,2560.0,635.8016
1637380628.0,train,4.0,0.086643,831.262,806.287,817.789,819.16,824.368,828.385,830.981,830.981,806.431,50.0,2560.0,708.640768
1637380641.0,train,4.0,0.239596,1021.595,972.306,996.784,998.777,1010.748,1013.614,1014.978,1020.831,973.846,70.0,2560.0,832.651264
1637380654.0,train,4.0,0.336511,1388.792,1337.548,1349.774,1371.812,1373.147,1373.549,1375.473,1378.466,1316.741,80.0,2560.0,842.018816
1637380667.0,train,4.0,0.329036,2032.602,1982.599,2009.966,2011.149,2014.322,2023.616,2029.839,2030.186,1968.534,90.0,2560.0,844.128256
1637380680.0,train,4.0,0.39881,1488.129,1449.212,1462.807,1463.643,1476.167,1479.663,1482.458,1486.145,1437.714,100.0,2560.0,431.620096
1637380693.0,train,4.0,0.416704,1703.254,1620.323,1655.55,1668.61,1679.289,1699.123,1701.814,1702.319,1614.62,110.0,2560.0,436.215808
1637380706.0,train,4.0,0.329894,3722.994,3644.548,3694.354,3701.781,3707.593,3714.43,3719.537,3721.488,3648.679,120.0,2560.0,441.286656
1637380719.0,train,4.0,0.452348,1893.772,1800.139,1863.107,1865.466,1881.486,1887.431,1888.491,1888.881,1807.081,130.0,2560.0,448.47104
1637380732.0,train,4.0,0.452348,2047.024,1959.188,1999.475,2005.656,2024.402,2030.806,2041.763,2042.977,1946.258,140.0,2560.0,454.438912
1637380745.0,train,4.0,0.663086,2242.962,2114.185,2176.757,2190.265,2212.12,2225.825,2231.859,2237.906,2118.278,150.0,2560.0,462.00832
1637380758.0,train,4.0,0.355428,2337.161,2231.395,2290.786,2302.258,2316.541,2325.695,2334.634,2336.344,2231.945,160.0,2560.0,469.286912
1637380771.0,train,4.0,0.310781,7616.965,7487.473,7555.763,7584.881,7593.214,7608.257,7612.671,7613.934,7503.667,170.0,2560.0,518.30784
1637380784.0,train,0.5,0.0,181.61292,175.87784,178.9806,178.9806,180.09588,180.09588,180.09588,180.09588,175.73288,10.0,256.0,217.821184
1637380797.0,train,4.0,0.534647,9941.007,9786.371,9880.069,9886.053,9917.793,9924.335,9925.671,9937.145,9796.85,180.0,2560.0,526.0288
1637380810.0,train,4.0,0.575721,10395.796,10267.241,10359.711,10363.696,10378.138,10389.064,10393.266,10393.46,10269.567,190.0,2560.0,536.281088
1637380823.0,train,0.5,0.0,181.61292,175.87784,178.9806,178.9806,180.09588,180.09588,180.09588,180.09588,175.73288,10.0,256.0,217.821184
1637380836.0,train,4.0,0.666435,12138.873,12003.214,12066.723,12083.917,12107.178,12123.16,12128.521,12134.912,11998.831,200.0,2560.0,544.325632
